title,type,tmdb_id,movie_runtime_minutes,episodes_total,total_seasons,episode_run_time,tv_minutes_total,rating_stars
Kingdom: Ashin of the North,Movie,845222.0,92.0,,,,,7.083
The Last Letter From Your Lover,Movie,638449.0,110.0,,,,,7.4
9to5: The Story of a Movement,Movie,682586.0,89.0,,,,,7.7
Chhota Bheem - Dinosaur World,Movie,852957.0,65.0,,,,,0.0
Chhota Bheem - Neeli Pahaadi,Movie,852960.0,63.0,,,,,10.0
Chhota Bheem & Ganesh,Movie,415004.0,68.0,,,,,8.5
Chhota Bheem & Krishna: Mayanagari,Movie,218088.0,66.0,,,,,6.1
Chhota Bheem & Krishna: Pataliputra- City of the Dead,Movie,518972.0,65.0,,,,,10.0
Chhota Bheem And The Broken Amulet,Movie,852961.0,63.0,,,,,0.0
Chhota Bheem And The Crown of Valhalla,Movie,852963.0,69.0,,,,,10.0
Chhota Bheem and the Incan Adventure,Movie,1341599.0,90.0,,,,,0.0
Chhota Bheem and The ShiNobi Secret,Movie,852965.0,63.0,,,,,0.0
Chhota Bheem Aur Hanuman,Movie,256863.0,67.0,,,,,6.2
Chhota Bheem aur Krishna,Movie,614385.0,69.0,,,,,6.333
Chhota Bheem aur Krishna vs Zimbara,Movie,401305.0,65.0,,,,,0.0
Chhota Bheem in African Safari,Movie,852969.0,62.0,,,,,0.0
Chhota Bheem Ka Roosi Romanch,Movie,750224.0,62.0,,,,,0.0
Chhota Bheem: Bheem vs Aliens,Movie,852970.0,69.0,,,,,5.5
Chhota Bheem: Dholakpur to Kathmandu,Movie,329521.0,69.0,,,,,7.0
Chhota Bheem: Dus Pe Dus,Movie,852974.0,62.0,,,,,0.0
Chhota Bheem: Journey to Petra,Movie,852975.0,67.0,,,,,0.0
Chhota Bheem: Master of Shaolin,Movie,852976.0,75.0,,,,,8.0
Chhota Bheem: The Rise of Kirmada,Movie,852978.0,68.0,,,,,4.7
Cousins,Movie,788335.0,98.0,,,,,6.7
Wannabe Courageous,Movie,620631.0,89.0,,,,,4.684
Words Bubble Up Like Soda Pop,Movie,579741.0,88.0,,,,,7.339
Sanitation Day,Movie,845377.0,104.0,,,,,4.7
Trollhunters: Rise of the Titans,Movie,730840.0,106.0,,,,,7.56
Milkwater,Movie,710415.0,102.0,,,,,4.143
The Tambour of Retribution,Movie,787726.0,92.0,,,,,5.9
Cosmic Sin,Movie,681887.0,88.0,,,,,3.993
2 Weeks in Lagos,Movie,669374.0,115.0,,,,,2.0
Deep,Movie,430474.0,92.0,,,,,6.007
Fear Street Part 3: 1666,Movie,591275.0,115.0,,,,,7.1
La ley de Herodes,Movie,14430.0,123.0,,,,,7.928
The Beguiled,Movie,31906.0,105.0,,,,,7.035
The Book of Henry,Movie,382614.0,105.0,,,,,7.505
The Twilight Saga: Breaking Dawn: Part 1,Movie,50619.0,117.0,,,,,6.193
The Twilight Saga: Breaking Dawn: Part 2,Movie,50620.0,115.0,,,,,6.462
The Twilight Saga: Eclipse,Movie,24021.0,124.0,,,,,6.2
The Twilight Saga: New Moon,Movie,18239.0,131.0,,,,,5.994
Twilight,Movie,8966.0,122.0,,,,,6.284
A Perfect Fit,Movie,800669.0,112.0,,,,,7.236
Cheech & Chong's Still Smokin,Movie,12695.0,91.0,,,,,5.3
Emicida: AmarElo - Live in São Paulo,Movie,845417.0,99.0,,,,,7.9
Lift Like a Girl,Movie,728886.0,93.0,,,,,5.75
My Amanda,Movie,843808.0,90.0,,,,,5.7
Surf's Up,Movie,9408.0,85.0,,,,,6.476
The Unknown Saint,Movie,596876.0,101.0,,,,,6.3
This Changes Everything,Movie,541577.0,97.0,,,,,6.225
A Classic Horror Story,Movie,768334.0,95.0,,,,,5.842
Gunpowder Milkshake,Movie,574060.0,114.0,,,,,6.277
Private Network: Who Killed Manuel Buendía?,Movie,842063.0,100.0,,,,,7.3
The Guide to the Perfect Family,Movie,633954.0,102.0,,,,,6.5
American Woman,Movie,339976.0,111.0,,,,,6.3
Bridgerton - The Afterparty,Movie,,,,,,,
Day of Destiny,Movie,846507.0,110.0,,,,,4.667
Born to Play,Movie,720441.0,92.0,,,,,1.0
American Ultra,Movie,261392.0,96.0,,,,,6.09
The Stand-Up,Movie,304322.0,85.0,,,,,3.5
